SiteID;Date Time;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Temperature;Location;geo_point_2d
459;2010-04-24T12:00:00+00:00;69.42;44.32;16.37;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-24T20:00:00+00:00;52.61;46.57;3.94;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-25T03:00:00+00:00;22.79;21.48;0.85;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-25T07:00:00+00:00;28.64;20.42;5.36;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-25T21:00:00+00:00;39.48;23.59;10.37;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-26T23:00:00+00:00;74.78;48.0;17.47;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-27T06:00:00+00:00;276.86;63.22;139.3;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-27T10:00:00+00:00;65.59;36.68;18.85;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-27T12:00:00+00:00;53.25;35.5;11.57;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-28T01:00:00+00:00;53.36;49.87;2.27;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-28T03:00:00+00:00;21.3;17.54;2.45;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-28T04:00:00+00:00;47.46;31.78;10.22;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-28T11:00:00+00:00;55.59;35.39;13.17;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-28T14:00:00+00:00;61.71;38.57;15.09;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-28T21:00:00+00:00;50.91;36.76;9.23;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-28T22:00:00+00:00;38.58;32.32;4.08;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-29T01:00:00+00:00;24.12;16.17;5.18;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-29T15:00:00+00:00;124.6;55.35;45.15;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-29T21:00:00+00:00;77.55;34.59;28.01;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-30T07:00:00+00:00;68.14;39.94;18.39;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-30T23:00:00+00:00;28.74;19.76;5.86;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-01T13:00:00+00:00;51.92;27.75;15.76;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
